objective value:                     4487.51582646449
t#343                              -0.970715743355305 	(obj:0)
t#344                              -0.975488358154694 	(obj:0)
t#345                              -0.975044936311456 	(obj:0)
t#346                               0.287454262492535 	(obj:0)
t#347                              -0.988637777785641 	(obj:0)
t#348                              -0.826175582577769 	(obj:0)
t#349                              -0.975044936311456 	(obj:0)
t#350                              -0.988637777785641 	(obj:0)
t#351                                -0.9303999808042 	(obj:0)
t#352                              -0.989150599921541 	(obj:0)
t#353                              -0.970715743355305 	(obj:0)
t#354                                -0.9793953193703 	(obj:0)
t#355                              -0.944877815890382 	(obj:0)
t#356                              -0.981024376173353 	(obj:0)
t#357                              -0.958251721554669 	(obj:0)
t#358                              -0.997152458165282 	(obj:0)
t#359                              -0.997374169086901 	(obj:0)
t#360                              -0.383318557568231 	(obj:0)
t#361                              -0.999258711920664 	(obj:0)
t#362                              -0.986864090412689 	(obj:0)
t#363                              -0.889406500481842 	(obj:0)
t#364                                -0.9793953193703 	(obj:0)
t#365                              -0.998815290077425 	(obj:0)
t#366                              -0.889406500481842 	(obj:0)
t#367                               -0.95792008020948 	(obj:0)
t#368                              -0.922678778603959 	(obj:0)
t#369                                -0.9793953193703 	(obj:0)
t#370                              -0.979132153280533 	(obj:0)
t#371                              -0.383318557568231 	(obj:0)
t#372                              -0.974199547793128 	(obj:0)
t#373                               0.389584346693876 	(obj:0)
t#374                              -0.965719567559817 	(obj:0)
t#375                              -0.987002890998011 	(obj:0)
t#376                              -0.979208308595011 	(obj:0)
t#377                              -0.693851637629222 	(obj:0)
t#378                              -0.949577975524252 	(obj:0)
t#379                              -0.996043903557187 	(obj:0)
t#380                              -0.981135231634163 	(obj:0)
t#381                              -0.918843067755494 	(obj:0)
t#382                              -0.993300462161461 	(obj:0)
t#383                              -0.496983525432172 	(obj:0)
t#384                              -0.976305801548509 	(obj:0)
t#385                              -0.816815513679802 	(obj:0)
t#386                              -0.944545249507954 	(obj:0)
t#387                              -0.943769261282287 	(obj:0)
t#388                              -0.859223094905411 	(obj:0)
t#389                              -0.796607894777855 	(obj:0)
t#390                              -0.449093966362449 	(obj:0)
t#391                                -0.9806359195419 	(obj:0)
t#392                               -0.99010008887886 	(obj:0)
t#393                              -0.985783480929105 	(obj:0)
t#394                              -0.976209381168576 	(obj:0)
t#395                              -0.858003684836507 	(obj:0)
t#396                              -0.980442153744793 	(obj:0)
